2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"  Claims adjusters, examiners, and investigators",13-1031,345.2,330.0,-15.2,-4.4,"76,790",High school diploma or equivalent,4.1,3.9,2.6,3.5,3.9,3.7,2.1,3.6,2.7,3.1,1.3,1.3,4.1,2.8,1.6,3.5,3.9
  Word processors and typists,43-9022,39.9,24.8,-15.2,-38.0,"47,850",High school diploma or equivalent,3.5,3.6,2.3,2.6,3.3,3.6,2.7,3.3,2.3,2.4,1.5,1.4,2.7,2.4,1.0,2.8,3.2
  Helpers--production workers,51-9198,183.5,168.4,-15.2,-8.3,"38,220",High school diploma or equivalent,3.2,2.1,2.0,2.5,2.1,3.5,3.3,2.9,2.5,2.2,2.5,3.0,2.8,2.2,1.5,2.6,2.4
"  Office and administrative support workers, all other[2]",43-9199,206.8,190.8,-16.0,-7.7,"46,040",High school diploma or equivalent,3.7,3.4,2.3,2.7,3.0,3.6,2.3,3.3,2.4,2.5,1.4,1.5,3.0,2.4,1.2,3.2,3.3
"  Interviewers, except eligibility and loan",43-4111,169.1,152.5,-16.7,-9.9,"43,830",High school diploma or equivalent,4.2,3.9,2.6,3.2,3.8,3.7,2.1,3.9,3.5,2.5,1.4,1.4,3.5,2.7,1.0,3.5,3.4
  Sewing machine operators,51-6031,128.7,111.8,-17.0,-13.2,"36,000",No formal educational credential,3.1,1.6,2.1,2.4,1.9,3.3,3.5,2.6,2.3,2.1,2.1,2.3,2.7,2.1,1.1,2.4,2.3
  Computer numerically controlled tool operators,51-9161,189.9,172.4,-17.5,-9.2,"49,970",High school diploma or equivalent,3.5,2.9,2.6,3.2,2.1,4.0,3.5,2.7,2.8,3.2,3.3,2.7,3.5,2.3,1.9,2.7,2.8
"  Inspectors, testers, sorters, samplers, and weighers",51-9061,595.5,577.7,-17.8,-3.0,"47,460",High school diploma or equivalent,3.9,3.2,2.4,3.0,2.7,3.7,2.8,3.0,3.0,2.6,2.3,2.5,3.4,2.3,1.9,2.9,3.0
  Telemarketers,41-9041,85.2,66.8,-18.3,-21.5,"34,410",No formal educational credential,3.6,3.0,2.8,2.7,3.8,3.3,2.1,3.5,2.5,1.8,1.3,1.1,2.9,2.2,1.2,3.5,3.0
  Bill and account collectors,43-3011,196.5,177.8,-18.6,-9.5,"46,040",High school diploma or equivalent,3.5,3.3,2.4,2.8,3.4,3.6,1.7,3.0,2.7,2.8,1.1,1.2,3.3,2.4,1.0,3.3,3.2
  Order clerks,43-4151,106.3,87.3,-19.0,-17.9,"44,660","Some college, no degree",4.2,3.8,2.6,2.9,3.3,3.4,1.8,3.7,3.1,3.0,1.6,1.6,3.3,2.8,1.2,3.4,3.4
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,181.3,161.0,-20.3,-11.2,"45,590",High school diploma or equivalent,3.2,2.1,2.5,2.7,2.1,3.8,3.3,2.6,2.6,2.5,2.9,2.9,3.2,2.2,1.4,2.6,2.7
  Payroll and timekeeping clerks,43-3051,160.3,136.2,-24.2,-15.1,"55,290",High school diploma or equivalent,3.9,3.6,2.4,2.9,2.3,3.7,2.1,3.3,2.4,3.6,1.2,1.3,3.2,2.0,1.0,3.1,3.5
  Correctional officers and jailers,33-3012,370.9,346.0,-24.8,-6.7,"57,970",High school diploma or equivalent,4.0,3.5,2.6,3.2,3.7,4.0,2.9,3.7,3.6,2.2,2.1,2.9,3.7,2.7,1.5,3.6,3.2
"  Packers and packagers, hand",53-7064,641.3,614.3,-26.9,-4.2,"35,580",No formal educational credential,3.4,2.6,2.3,2.5,2.5,3.5,2.8,3.0,3.1,2.2,2.1,2.8,2.9,2.3,1.6,2.5,2.3
  Food preparation workers,35-2021,904.8,870.8,-34.0,-3.8,"34,220",No formal educational credential,3.4,2.0,2.5,2.5,3.6,3.4,2.7,3.4,3.3,2.2,1.7,2.7,3.0,2.4,1.7,2.9,2.5
  Data entry keyers,43-9021,163.9,122.8,-41.0,-25.0,"39,850",High school diploma or equivalent,4.1,3.6,2.6,2.9,2.7,4.0,3.0,3.4,2.9,2.3,1.4,1.8,3.3,2.4,1.1,2.9,3.4
  Tellers,43-3071,350.3,298.8,-51.4,-14.7,"39,340",High school diploma or equivalent,3.9,3.3,2.4,2.9,3.9,3.9,2.8,3.6,2.9,3.4,1.6,1.9,3.5,2.5,1.1,3.3,3.2
"  Shipping, receiving, and inventory clerks",43-5071,848.7,784.2,-64.4,-7.6,"43,190",High school diploma or equivalent,3.3,3.3,2.4,2.7,3.1,3.6,2.7,3.0,3.1,2.5,1.9,2.6,3.2,2.7,1.3,2.8,3.0
  First-line supervisors of office and administrative support workers,43-1011,"1,570.5","1,501.4",-69.1,-4.4,"66,140",High school diploma or equivalent,4.0,3.6,2.9,3.5,3.4,3.6,1.9,3.8,3.9,2.8,1.5,1.6,3.8,3.2,1.1,3.5,3.8
"  Bookkeeping, accounting, and auditing clerks",43-3031,"1,663.8","1,579.9",-83.9,-5.0,"49,210","Some college, no degree",3.6,3.6,2.2,2.8,3.0,3.7,2.3,3.2,2.5,3.6,1.2,1.3,3.2,2.6,1.1,3.0,3.3
  First-line supervisors of retail sales workers,41-1011,"1,407.4","1,316.9",-90.5,-6.4,"47,320",High school diploma or equivalent,4.1,3.1,2.8,3.2,4.0,3.3,2.5,3.8,3.8,2.9,1.4,2.3,3.6,2.9,1.1,3.4,3.0
"  Cooks, fast food",35-2011,682.2,588.5,-93.7,-13.7,"30,160",No formal educational credential,3.1,1.9,2.1,2.4,3.0,3.5,2.0,2.8,2.6,1.9,1.4,2.3,2.8,2.0,1.0,3.1,2.4
"  Office clerks, general",43-9061,"2,645.8","2,498.2",-147.5,-5.6,"43,630",High school diploma or equivalent,3.7,3.3,2.2,2.7,3.0,3.6,2.3,3.2,2.4,2.6,1.4,1.5,2.9,2.5,1.2,3.2,3.3
  Customer service representatives,43-4051,"2,954.6","2,805.8",-148.8,-5.0,"42,830",High school diploma or equivalent,4.1,3.5,2.5,3.0,4.0,3.6,2.4,3.5,3.1,2.7,1.4,1.5,3.3,2.5,1.2,3.5,3.4
  Cashiers,41-2011,"3,338.8","2,985.7",-353.1,-10.6,"31,190",No formal educational credential,3.7,2.3,2.3,2.5,3.9,3.5,2.7,3.5,2.9,3.0,1.6,2.3,3.0,2.1,1.3,2.9,2.8
Table 6.2 jobs data by detailed occupation  and 2023–33 employment projections (Employment in thousands),,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,,,,,,,,,,,,,,,,,,,
[2] jobs information from similar O*NET-SOC occupation(s) imputed for this occupation. More information can be found in the Crosswalk of O*NET-SOC occupations to National Employment Matrix occupations for jobs mapping file: https://www.bls.gov/emp/jobs/ep_job_nem_onet_crosswalks.xlsx.,,,,,,,,,,,,,,,,,,,,,,,,
Note: jobs scores range from 1.0 (Not important) to 5.0 (Extremely important). More information can be found on the EP definitions page: https://www.bls.gov/emp/documentation/definitions.htm.,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,,,,,,,,,,,,,,
